758.0,-160.0,999.0,30.0

792.0,-178.0,786.0,20.0

865.0,-199.0,918.0,22.0

919.0,-170.0,756.0,13.0

900.0,-190.0,884.0,37.0

896.0,-168.0,887.0,17.0

716.0,-178.0,989.0,38.0

818.0,-190.0,993.0,25.0

800.0,-185.0,787.0,27.0

763.0,-164.0,950.0,24.0

964.0,-182.0,841.0,28.0

921.0,-157.0,952.0,33.0

786.0,-157.0,747.0,38.0

999.0,-186.0,916.0,13.0

799.0,-184.0,932.0,36.0

903.0,-187.0,971.0,31.0

961.0,-196.0,924.0,25.0

924.0,-153.0,857.0,6.0

818.0,-189.0,992.0,34.0

726.0,-153.0,990.0,29.0

716.0,-178.0,989.0,20.0

717.0,-177.0,716.0,37.0

781.0,-166.0,951.0,27.0

952.0,-159.0,804.0,22.0

935.0,-177.0,958.0,21.0

841.0,-162.0,730.0,16.0

788.0,-160.0,962.0,17.0

729.0,-157.0,757.0,39.0

903.0,-199.0,763.0,28.0

757.0,-186.0,994.0,10.0

823.0,-188.0,927.0,35.0

932.0,-158.0,828.0,23.0

861.0,-186.0,924.0,25.0

803.0,-197.0,926.0,32.0

960.0,-196.0,917.0,5.0

906.0,-172.0,917.0,19.0

792.0,-187.0,922.0,23.0

913.0,-187.0,921.0,23.0

892.0,-194.0,776.0,14.0

972.0,-198.0,817.0,9.0

760.0,-156.0,724.0,11.0

746.0,-163.0,994.0,19.0

968.0,-160.0,944.0,12.0

937.0,-173.0,906.0,32.0

908.0,-199.0,902.0,29.0

976.0,-193.0,942.0,35.0

957.0,-183.0,983.0,40.0

895.0,-180.0,904.0,11.0

766.0,-165.0,970.0,19.0

999.0,-170.0,905.0,6.0

799.0,-184.0,932.0,16.0

833.0,-195.0,802.0,24.0

916.0,-183.0,921.0,22.0

863.0,-151.0,918.0,13.0

907.0,-177.0,939.0,12.0

905.0,-163.0,732.0,14.0

863.0,-186.0,976.0,19.0

738.0,-162.0,920.0,17.0

986.0,-186.0,891.0,12.0

